Timetable for L1-G3-S3
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,2,10:45-12:15,Lab,CSC111,Fundamentals of Programming,B08 F1.11,Eng. Nada Essam (Lab),Eng. Nada Essam
Monday,3,12:30-14:00,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,4,14:15-15:45,Lecture,LRA101,JA Culture,B17 F1.03,Prof. Sherien,N/A
Sunday,1,9:00-10:30,Lecture,ECE111,Digital Logic Design,B17 F1.16,Prof. Ahmed Allam,N/A
Sunday,2,10:45-12:15,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Sunday,3,12:30-14:00,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,4,14:15-15:45,Lecture,LRA104,Music,B17 F1.03,Music Prof,N/A
Thursday,4,14:15-15:45,Lab,MTH111,Math 1,B18 F1.10,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1
Tuesday,3,12:30-14:00,Lab,LRA401,JA Language 1,B26 G.13,Prof. Language Assistant 2 (Lab),Prof. Language Assistant 2
Wednesday,2,10:45-12:15,Lab,ECE111,Digital Logic Design,B7.f1.04,Eng. ECE (Lab),Eng. ECE
Wednesday,4,14:15-15:45,Lab,PHY113,Physics 1,CEO.PHYLAB,Eng. ECE (Lab),Eng. ECE
