Assignment ID,Type,Course Code,Course Name,Day,Slot,Time,Room,Instructor,Lab Instructor,Assigned To
A0013,lecture,PHY113,Physics 1,Monday,1,9:00-10:30,B17 F1.03,Prof. Adel Fathy,N/A,"L1-G1, L1-G1-S1, L1-G1-S2, L1-G1-S3"
A0017,lecture,LRA101,JA Culture,Monday,1,9:00-10:30,B17 F1.15,Prof. Sherien,N/A,"L1-G2, L1-G2-S1, L1-G2-S2, L1-G2-S3"
A0020,lecture,ACM215,ODE,Monday,1,9:00-10:30,B17 F1.16,Prof. Ayman Arafa,N/A,"L2-G2, L2-G2-S1, L2-G2-S2, L2-G2-S3"
A0031,lecture,CSE214,Computer Organization,Monday,1,9:00-10:30,B17 G.09,Prof. Mostafa Soliman,N/A,"L2-G1, L2-G1-S1, L2-G1-S2, L2-G1-S3"
A0036,lecture,LRA306,Natural Resources and Sustainability,Monday,1,9:00-10:30,B18 F1.21,Prof. LRA,N/A,"L2-G3, L2-G3-S1, L2-G3-S2, L2-G3-S3"
A0014,lecture,PHY113,Physics 1,Monday,2,10:45-12:15,B17 F1.03,Prof. Adel Fathy,N/A,"L1-G2, L1-G2-S1, L1-G2-S2, L1-G2-S3"
A0016,lecture,LRA101,JA Culture,Monday,2,10:45-12:15,B17 F1.15,Prof. Sherien,N/A,"L1-G1, L1-G1-S1, L1-G1-S2, L1-G1-S3"
A0021,lecture,ACM215,ODE,Monday,2,10:45-12:15,B17 F1.16,Prof. Ayman Arafa,N/A,"L2-G3, L2-G3-S1, L2-G3-S2, L2-G3-S3"
A0034,lecture,LRA306,Natural Resources and Sustainability,Monday,2,10:45-12:15,B17 G.09,Prof. LRA,N/A,"L2-G1, L2-G1-S1, L2-G1-S2, L2-G1-S3"
A0063,lab,CSC111,Fundamentals of Programming,Monday,2,10:45-12:15,B08 F1.11,Eng. Nada Essam (Lab),Eng. Nada Essam,L1-G3-S3
A0087,lab,ACM215,ODE,Monday,2,10:45-12:15,B18 F1.08,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G2-S3
A0015,lecture,PHY113,Physics 1,Monday,3,12:30-14:00,B17 F1.03,Prof. Adel Fathy,N/A,"L1-G3, L1-G3-S1, L1-G3-S2, L1-G3-S3"
A0035,lecture,LRA306,Natural Resources and Sustainability,Monday,3,12:30-14:00,B17 F1.15,Prof. LRA,N/A,"L2-G2, L2-G2-S1, L2-G2-S2, L2-G2-S3"
A0042,lab,ECE111,Digital Logic Design,Monday,3,12:30-14:00,B7.f1.04,Eng. ECE (Lab),Eng. ECE,L1-G2-S3
A0057,lab,CSC111,Fundamentals of Programming,Monday,3,12:30-14:00,B17 F1.08,Eng. Nada Hamdy (Lab),Eng. Nada Hamdy,L1-G1-S3
A0067,lab,LRA401,JA Language 1,Monday,3,12:30-14:00,B18 F1.13,Prof. Language Assistant 2 (Lab),Prof. Language Assistant 2,L1-G2-S1
A0088,lab,ACM215,ODE,Monday,3,12:30-14:00,B26 G.19,Eng. Ali Sato (Lab),Eng. Ali Sato,L2-G3-S1
A0018,lecture,LRA101,JA Culture,Monday,4,14:15-15:45,B17 F1.03,Prof. Sherien,N/A,"L1-G3, L1-G3-S1, L1-G3-S2, L1-G3-S3"
A0040,lab,ECE111,Digital Logic Design,Monday,4,14:15-15:45,B7.f1.04,ECE Department Staff (Lab),ECE Department Staff,L1-G2-S1
A0050,lab,PHY113,Physics 1,Monday,4,14:15-15:45,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff,L1-G2-S2
A0055,lab,CSC111,Fundamentals of Programming,Monday,4,14:15-15:45,B25 F1.10,Eng. Mariam Ismael (Lab),Eng. Mariam Ismael,L1-G1-S1
A0065,lab,LRA401,JA Language 1,Monday,4,14:15-15:45,B07 F1.20,Prof. Lina Morales (Lab),Prof. Lina Morales,L1-G1-S2
A0082,lab,ACM215,ODE,Monday,4,14:15-15:45,B08 F1.11,Eng. Ali Sato (Lab),Eng. Ali Sato,L2-G1-S1
A0114,lab,CSE214,Computer Organization,Monday,4,14:15-15:45,B17 F1.17,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader,L2-G2-S3
